id,nombre,tipo,sector,lat,lon,coord_dms,crtm05_x,crtm05_y,acceso,requiere_4x4,requiere_guia,requiere_reserva,precision_coordenada,google_place_id,google_maps_url,google_maps_como_llegar,waze_url,telefono
playa-pejeperro,Playa Pejeperro,playa,Pacífico / humedal Pejeperro,8.4169418,-83.3932709,"8°25'00.99""N 83°23'35.78""W",566812.4,930722.8,publico_condicionado,True,True,False,baja,ChIJ9f-cMgCJpI8RaVoqHJ-6Zic,"https://www.google.com/maps/search/?api=1&query=8.4169418,-83.3932709&query_place_id=ChIJ9f-cMgCJpI8RaVoqHJ-6Zic","https://www.google.com/maps/dir/?api=1&destination=8.4169418,-83.3932709&destination_place_id=ChIJ9f-cMgCJpI8RaVoqHJ-6Zic","https://waze.com/ul?ll=8.4169418,-83.3932709&navigate=yes",
playa-rio-oro,Playa Río Oro,playa,Pacífico / Carate,8.4288561,-83.4168021,"8°25'43.88""N 83°25'00.49""W",564219.1,932036.5,comunitario,True,True,True,alta,ChIJcUJV-B2JpI8Rh5KyKCLsyQE,"https://www.google.com/maps/search/?api=1&query=8.4288561,-83.4168021&query_place_id=ChIJcUJV-B2JpI8Rh5KyKCLsyQE","https://www.google.com/maps/dir/?api=1&destination=8.4288561,-83.4168021&destination_place_id=ChIJcUJV-B2JpI8Rh5KyKCLsyQE","https://waze.com/ul?ll=8.4288561,-83.4168021&navigate=yes",
playa-carate,Playa Carate,playa,Pacífico / Carate,8.4377778,-83.4436111,"8°26'16.00""N 83°26'37.00""W",561265.6,933018.9,publico_condicionado,True,False,False,alta,ChIJYz-jgmd9pI8RgGnDOJDU4y8,"https://www.google.com/maps/search/?api=1&query=8.4377778,-83.4436111&query_place_id=ChIJYz-jgmd9pI8RgGnDOJDU4y8","https://www.google.com/maps/dir/?api=1&destination=8.4377778,-83.4436111&destination_place_id=ChIJYz-jgmd9pI8RgGnDOJDU4y8","https://waze.com/ul?ll=8.4377778,-83.4436111&navigate=yes",
playa-madrigal,Playa Madrigal,playa,Corcovado (sector sur),8.4483333,-83.5047222,"8°26'54.00""N 83°30'17.00""W",554534.8,934177.1,parque_nacional,False,True,True,media,ChIJ_QgFouF9pI8RfzjwlLSPPjs,"https://www.google.com/maps/search/?api=1&query=8.4483333,-83.5047222&query_place_id=ChIJ_QgFouF9pI8RfzjwlLSPPjs","https://www.google.com/maps/dir/?api=1&destination=8.4483333,-83.5047222&destination_place_id=ChIJ_QgFouF9pI8RfzjwlLSPPjs","https://waze.com/ul?ll=8.4483333,-83.5047222&navigate=yes",
playa-sirena,Playa Sirena / Estación Sirena,estacion,Corcovado,8.48022,-83.5894357,"8°28'48.79""N 83°35'21.97""W",545203.1,937692.7,parque_nacional,False,True,True,alta,ChIJ1TkSiX5_pI8RfoVNYkwYFf8,"https://www.google.com/maps/search/?api=1&query=8.48022,-83.5894357&query_place_id=ChIJ1TkSiX5_pI8RfoVNYkwYFf8","https://www.google.com/maps/dir/?api=1&destination=8.48022,-83.5894357&destination_place_id=ChIJ1TkSiX5_pI8RfoVNYkwYFf8","https://waze.com/ul?ll=8.48022,-83.5894357&navigate=yes",
playa-llorona,Playa Llorona,playa,Corcovado (sector norte),8.5777794,-83.6993212,"8°34'40.01""N 83°41'57.56""W",533096.1,948470.6,parque_nacional,False,True,True,media,ChIJ9cKh5LuFo48R4_TiQFu2YuY,"https://www.google.com/maps/search/?api=1&query=8.5777794,-83.6993212&query_place_id=ChIJ9cKh5LuFo48R4_TiQFu2YuY","https://www.google.com/maps/dir/?api=1&destination=8.5777794,-83.6993212&destination_place_id=ChIJ9cKh5LuFo48R4_TiQFu2YuY","https://waze.com/ul?ll=8.5777794,-83.6993212&navigate=yes",
playa-colorada,Playa Colorada,playa,Bahía Drake / Agujitas,8.6908239,-83.6656778,"8°41'26.97""N 83°39'56.44""W",536788.4,960975.3,publico,False,False,False,alta,ChIJp9Fy3VmJo48Reh2S0HCtu0I,"https://www.google.com/maps/search/?api=1&query=8.6908239,-83.6656778&query_place_id=ChIJp9Fy3VmJo48Reh2S0HCtu0I","https://www.google.com/maps/dir/?api=1&destination=8.6908239,-83.6656778&destination_place_id=ChIJp9Fy3VmJo48Reh2S0HCtu0I","https://waze.com/ul?ll=8.6908239,-83.6656778&navigate=yes",
playa-cocalito,Playa Cocalito,playa,Bahía Drake,8.6955115,-83.6801342,"8°41'43.84""N 83°40'48.48""W",535197.2,961492.3,publico_condicionado,False,False,False,alta,ChIJVVUVfqqOo48RZ4E7ntQIEz0,"https://www.google.com/maps/search/?api=1&query=8.6955115,-83.6801342&query_place_id=ChIJVVUVfqqOo48RZ4E7ntQIEz0","https://www.google.com/maps/dir/?api=1&destination=8.6955115,-83.6801342&destination_place_id=ChIJVVUVfqqOo48RZ4E7ntQIEz0","https://waze.com/ul?ll=8.6955115,-83.6801342&navigate=yes",
playa-las-caletas,Playa Las Caletas,playa,Bahía Drake,8.6905405,-83.6967712,"8°41'25.95""N 83°41'48.38""W",533366.9,960941.0,publico_condicionado,False,False,False,alta,ChIJsQ6i9KGOo48R1JcqbnfJzuA,"https://www.google.com/maps/search/?api=1&query=8.6905405,-83.6967712&query_place_id=ChIJsQ6i9KGOo48R1JcqbnfJzuA","https://www.google.com/maps/dir/?api=1&destination=8.6905405,-83.6967712&destination_place_id=ChIJsQ6i9KGOo48R1JcqbnfJzuA","https://waze.com/ul?ll=8.6905405,-83.6967712&navigate=yes",
playa-san-josecito,Playa San Josecito,playa,Bahía Drake,8.6710999,-83.7152624,"8°40'15.96""N 83°42'54.94""W",531333.8,958789.5,publico_condicionado,True,False,False,alta,ChIJJ8m0evSOo48RP33u4bUoDFo,"https://www.google.com/maps/search/?api=1&query=8.6710999,-83.7152624&query_place_id=ChIJJ8m0evSOo48RP33u4bUoDFo","https://www.google.com/maps/dir/?api=1&destination=8.6710999,-83.7152624&destination_place_id=ChIJJ8m0evSOo48RP33u4bUoDFo","https://waze.com/ul?ll=8.6710999,-83.7152624&navigate=yes",
playa-rincon-san-josecito,Playa Rincón de San Josecito,playa,Bahía Drake,8.6572055,-83.7131596,"8°39'25.94""N 83°42'47.37""W",531566.3,957253.1,publico_condicionado,True,False,False,alta,ChIJb30RbfyOo48Rz69-_VAmdbQ,"https://www.google.com/maps/search/?api=1&query=8.6572055,-83.7131596&query_place_id=ChIJb30RbfyOo48Rz69-_VAmdbQ","https://www.google.com/maps/dir/?api=1&destination=8.6572055,-83.7131596&destination_place_id=ChIJb30RbfyOo48Rz69-_VAmdbQ","https://waze.com/ul?ll=8.6572055,-83.7131596&navigate=yes",
playa-ganado,Playa Ganado,playa,Bahía Drake norte,8.7456082,-83.641327,"8°44'44.19""N 83°38'28.78""W",539462.3,967036.3,publico_condicionado,True,False,False,baja,ChIJL7FNpzyLo48RqKC7n32Pd9Y,"https://www.google.com/maps/search/?api=1&query=8.7456082,-83.641327&query_place_id=ChIJL7FNpzyLo48RqKC7n32Pd9Y","https://www.google.com/maps/dir/?api=1&destination=8.7456082,-83.641327&destination_place_id=ChIJL7FNpzyLo48RqKC7n32Pd9Y","https://waze.com/ul?ll=8.7456082,-83.641327&navigate=yes",
playa-violin,Playa Violín,playa,Bahía Drake norte / Sierpe,8.7844977,-83.6424908,"8°47'04.19""N 83°38'32.97""W",539330.1,971337.1,publico_condicionado,True,False,False,baja,ChIJC6WLA9P0o48RGLZ-bcm3yXI,"https://www.google.com/maps/search/?api=1&query=8.7844977,-83.6424908&query_place_id=ChIJC6WLA9P0o48RGLZ-bcm3yXI","https://www.google.com/maps/dir/?api=1&destination=8.7844977,-83.6424908&destination_place_id=ChIJC6WLA9P0o48RGLZ-bcm3yXI","https://waze.com/ul?ll=8.7844977,-83.6424908&navigate=yes",
catarata-bahia-drake,Catarata de Bahía Drake,catarata,Bahía Drake,8.6656348,-83.6658385,"8°39'56.29""N 83°39'57.02""W",536773.2,958189.6,privado_con_cita,False,True,True,media,ChIJwaFo9i6Jo48RCVt57_RYr7w,"https://www.google.com/maps/search/?api=1&query=8.6656348,-83.6658385&query_place_id=ChIJwaFo9i6Jo48RCVt57_RYr7w","https://www.google.com/maps/dir/?api=1&destination=8.6656348,-83.6658385&destination_place_id=ChIJwaFo9i6Jo48RCVt57_RYr7w","https://waze.com/ul?ll=8.6656348,-83.6658385&navigate=yes",
lapa-rios,Lapa Ríos Lodge y Reserva,reserva_privada,Cabo Matapalo,8.4002348,-83.2849515,"8°24'00.85""N 83°17'05.83""W",578744.4,928895.2,solo_huespedes,True,True,True,alta,ChIJca_8u1R9pI8RTrw0plfWimk,"https://www.google.com/maps/search/?api=1&query=8.4002348,-83.2849515&query_place_id=ChIJca_8u1R9pI8RTrw0plfWimk","https://www.google.com/maps/dir/?api=1&destination=8.4002348,-83.2849515&destination_place_id=ChIJca_8u1R9pI8RTrw0plfWimk","https://waze.com/ul?ll=8.4002348,-83.2849515&navigate=yes",+1 800-963-1195
bosque-del-cabo,Bosque del Cabo Rainforest Lodge,reserva_privada,Cabo Matapalo,8.377403,-83.2926858,"8°22'38.65""N 83°17'33.67""W",577897.2,926368.6,solo_huespedes,True,False,True,alta,ChIJq2L0CKqLpI8RpwyELmPwNRQ,"https://www.google.com/maps/search/?api=1&query=8.377403,-83.2926858&query_place_id=ChIJq2L0CKqLpI8RpwyELmPwNRQ","https://www.google.com/maps/dir/?api=1&destination=8.377403,-83.2926858&destination_place_id=ChIJq2L0CKqLpI8RpwyELmPwNRQ","https://waze.com/ul?ll=8.377403,-83.2926858&navigate=yes",+506 2735 5206
el-remanso,El Remanso Rainforest Lodge,reserva_privada,Cabo Matapalo (km 22 vía Carate),8.3874127,-83.3063078,"8°23'14.69""N 83°18'22.71""W",576395.0,927472.9,solo_huespedes,True,True,True,alta,ChIJX70L3ayLpI8RQQGh-svedsI,"https://www.google.com/maps/search/?api=1&query=8.3874127,-83.3063078&query_place_id=ChIJX70L3ayLpI8RQQGh-svedsI","https://www.google.com/maps/dir/?api=1&destination=8.3874127,-83.3063078&destination_place_id=ChIJX70L3ayLpI8RQQGh-svedsI","https://waze.com/ul?ll=8.3874127,-83.3063078&navigate=yes",+506 4000 2442
osa-conservation,Osa Conservation — Campus Piro / Cerro Osa,estacion_cientifica,Pacífico / Piro,8.4036855,-83.3366394,"8°24'13.27""N 83°20'11.90""W",573051.4,929266.8,privado_con_cita,True,True,True,alta,ChIJc35om4qJpI8Rrl2jZr3ckBg,"https://www.google.com/maps/search/?api=1&query=8.4036855,-83.3366394&query_place_id=ChIJc35om4qJpI8Rrl2jZr3ckBg","https://www.google.com/maps/dir/?api=1&destination=8.4036855,-83.3366394&destination_place_id=ChIJc35om4qJpI8Rrl2jZr3ckBg","https://waze.com/ul?ll=8.4036855,-83.3366394&navigate=yes",+506 2735 5756
reserva-rio-nuevo,Reserva Natural Río Nuevo,reserva_privada,Río Nuevo / Puerto Jiménez,8.5137189,-83.3511307,"8°30'49.39""N 83°21'04.07""W",571435.2,941433.2,privado_con_cita,True,True,True,alta,ChIJTzkxJqRjpI8RYz1C82JfaK0,"https://www.google.com/maps/search/?api=1&query=8.5137189,-83.3511307&query_place_id=ChIJTzkxJqRjpI8RYz1C82JfaK0","https://www.google.com/maps/dir/?api=1&destination=8.5137189,-83.3511307&destination_place_id=ChIJTzkxJqRjpI8RYz1C82JfaK0","https://waze.com/ul?ll=8.5137189,-83.3511307&navigate=yes",+506 8559 7625
finca-kobo,Finca Köbö — Tour de cacao,agroturismo,La Palma / Palo Seco,8.6061668,-83.44416,"8°36'22.20""N 83°26'38.98""W",561178.3,951641.3,privado_con_cita,False,True,True,alta,ChIJlwRl26V6pI8RQkHQL_DX0Ts,"https://www.google.com/maps/search/?api=1&query=8.6061668,-83.44416&query_place_id=ChIJlwRl26V6pI8RQkHQL_DX0Ts","https://www.google.com/maps/dir/?api=1&destination=8.6061668,-83.44416&destination_place_id=ChIJlwRl26V6pI8RQkHQL_DX0Ts","https://waze.com/ul?ll=8.6061668,-83.44416&navigate=yes",+506 8398 7604
dos-brazos-rio-tigre,Dos Brazos de Río Tigre — Salón Ecocultural,comunitario,Río Tigre,8.5263438,-83.4020041,"8°31'34.84""N 83°24'07.21""W",565832.1,942820.4,comunitario,False,False,False,alta,ChIJAxgu95VkpI8RQxu3pqvycO4,"https://www.google.com/maps/search/?api=1&query=8.5263438,-83.4020041&query_place_id=ChIJAxgu95VkpI8RQxu3pqvycO4","https://www.google.com/maps/dir/?api=1&destination=8.5263438,-83.4020041&destination_place_id=ChIJAxgu95VkpI8RQxu3pqvycO4","https://waze.com/ul?ll=8.5263438,-83.4020041&navigate=yes",+506 8691 4545
sector-el-tigre,Corcovado — Sector El Tigre,parque_nacional,Dos Brazos de Río Tigre,8.5279296,-83.4070217,"8°31'40.55""N 83°24'25.28""W",565279.4,942994.9,parque_nacional,False,True,True,alta,ChIJi2aDKmtlpI8RfFQPBwLUeiE,"https://www.google.com/maps/search/?api=1&query=8.5279296,-83.4070217&query_place_id=ChIJi2aDKmtlpI8RfFQPBwLUeiE","https://www.google.com/maps/dir/?api=1&destination=8.5279296,-83.4070217&destination_place_id=ChIJi2aDKmtlpI8RfFQPBwLUeiE","https://waze.com/ul?ll=8.5279296,-83.4070217&navigate=yes",+506 8691 4545
rancho-quemado,Rancho Quemado — turismo rural comunitario,comunitario,Interior de la península,8.6827917,-83.5660969,"8°40'58.05""N 83°33'57.95""W",547747.4,960098.1,comunitario,True,True,True,alta,ChIJl9MRHXF2pI8RdXbcpSeEXqs,"https://www.google.com/maps/search/?api=1&query=8.6827917,-83.5660969&query_place_id=ChIJl9MRHXF2pI8RdXbcpSeEXqs","https://www.google.com/maps/dir/?api=1&destination=8.6827917,-83.5660969&destination_place_id=ChIJl9MRHXF2pI8RdXbcpSeEXqs","https://waze.com/ul?ll=8.6827917,-83.5660969&navigate=yes",+506 8558 1822
finca-las-minas,Finca Las Minas — Tour de oro artesanal,comunitario,Rancho Quemado,8.6920785,-83.5606749,"8°41'31.48""N 83°33'38.43""W",548342.9,961125.8,comunitario,True,True,True,alta,ChIJxaYuICB3pI8RFlYwZOIT5oI,"https://www.google.com/maps/search/?api=1&query=8.6920785,-83.5606749&query_place_id=ChIJxaYuICB3pI8RFlYwZOIT5oI","https://www.google.com/maps/dir/?api=1&destination=8.6920785,-83.5606749&destination_place_id=ChIJxaYuICB3pI8RFlYwZOIT5oI","https://waze.com/ul?ll=8.6920785,-83.5606749&navigate=yes",+506 8607 5093
laguna-chocuaco,Laguna Chocuaco,humedal,Rancho Quemado,8.7069132,-83.5689668,"8°42'24.89""N 83°34'08.28""W",547428.6,962765.3,comunitario,True,True,True,media,ChIJdQs5LN11pI8R-Rfk2Ea7Fqg,"https://www.google.com/maps/search/?api=1&query=8.7069132,-83.5689668&query_place_id=ChIJdQs5LN11pI8R-Rfk2Ea7Fqg","https://www.google.com/maps/dir/?api=1&destination=8.7069132,-83.5689668&destination_place_id=ChIJdQs5LN11pI8R-Rfk2Ea7Fqg","https://waze.com/ul?ll=8.7069132,-83.5689668&navigate=yes",+506 8897 4926
mirador-osa,Mirador Osa (Los Mogos / Rincón),mirador,Entrada a la península,8.7556803,-83.3684078,"8°45'20.45""N 83°22'06.27""W",569488.8,968189.7,privado_con_cita,False,False,False,alta,ChIJSbo9yq9zpI8RWrE6I6NhFAM,"https://www.google.com/maps/search/?api=1&query=8.7556803,-83.3684078&query_place_id=ChIJSbo9yq9zpI8RWrE6I6NhFAM","https://www.google.com/maps/dir/?api=1&destination=8.7556803,-83.3684078&destination_place_id=ChIJSbo9yq9zpI8RWrE6I6NhFAM","https://waze.com/ul?ll=8.7556803,-83.3684078&navigate=yes",+506 6108 9573
tortugas-preciosas,Tortugas Preciosas de Osa,conservacion,Playa Platanares,8.5187377,-83.2884351,"8°31'07.46""N 83°17'18.37""W",578336.8,942000.4,comunitario,False,True,True,alta,ChIJ4wOI0GpnpI8RudvYbnImuOE,"https://www.google.com/maps/search/?api=1&query=8.5187377,-83.2884351&query_place_id=ChIJ4wOI0GpnpI8RudvYbnImuOE","https://www.google.com/maps/dir/?api=1&destination=8.5187377,-83.2884351&destination_place_id=ChIJ4wOI0GpnpI8RudvYbnImuOE","https://waze.com/ul?ll=8.5187377,-83.2884351&navigate=yes",+506 8413 5194
san-pedrillo,Corcovado — Estación San Pedrillo,estacion,Corcovado norte,8.6208167,-83.7347165,"8°37'14.94""N 83°44'04.98""W",529196.8,953227.2,parque_nacional,False,True,True,alta,ChIJc8aM6JGPo48R8OWker5JBRk,"https://www.google.com/maps/search/?api=1&query=8.6208167,-83.7347165&query_place_id=ChIJc8aM6JGPo48R8OWker5JBRk","https://www.google.com/maps/dir/?api=1&destination=8.6208167,-83.7347165&destination_place_id=ChIJc8aM6JGPo48R8OWker5JBRk","https://waze.com/ul?ll=8.6208167,-83.7347165&navigate=yes",
la-leona,Corcovado — Estación La Leona,estacion,Corcovado sur / Carate,8.4478079,-83.488538,"8°26'52.11""N 83°29'18.74""W",556316.9,934121.3,parque_nacional,True,True,True,alta,ChIJBeP2nut9pI8RMTcZ4KomHfk,"https://www.google.com/maps/search/?api=1&query=8.4478079,-83.488538&query_place_id=ChIJBeP2nut9pI8RMTcZ4KomHfk","https://www.google.com/maps/dir/?api=1&destination=8.4478079,-83.488538&destination_place_id=ChIJBeP2nut9pI8RMTcZ4KomHfk","https://waze.com/ul?ll=8.4478079,-83.488538&navigate=yes",+506 2735 5036
playa-cativo,Playa Cativo,playa,Golfo Dulce (costa noreste),8.6735499,-83.3081782,"8°40'24.78""N 83°18'29.44""W",576132.3,959118.0,fuera_de_alcance,False,False,True,alta,ChIJc1yJom5ppI8RAu1UscOqW-k,"https://www.google.com/maps/search/?api=1&query=8.6735499,-83.3081782&query_place_id=ChIJc1yJom5ppI8RAu1UscOqW-k","https://www.google.com/maps/dir/?api=1&destination=8.6735499,-83.3081782&destination_place_id=ChIJc1yJom5ppI8RAu1UscOqW-k","https://waze.com/ul?ll=8.6735499,-83.3081782&navigate=yes",
playa-sandalo,Playa Sándalo,playa,Golfo Dulce / Puerto Jiménez,8.5756329,-83.3591117,"8°34'32.28""N 83°21'32.80""W",570545.2,948279.1,publico_condicionado,True,False,False,baja,ChIJ-2algb9lpI8RMaC1oATnTTo,"https://www.google.com/maps/search/?api=1&query=8.5756329,-83.3591117&query_place_id=ChIJ-2algb9lpI8RMaC1oATnTTo","https://www.google.com/maps/dir/?api=1&destination=8.5756329,-83.3591117&destination_place_id=ChIJ-2algb9lpI8RMaC1oATnTTo","https://waze.com/ul?ll=8.5756329,-83.3591117&navigate=yes",
playa-blanca-palma,Playa Blanca (sector Palma),playa,Golfo Dulce interior,8.6441368,-83.4438719,"8°38'38.89""N 83°26'37.94""W",561204.0,955840.6,publico_condicionado,True,False,False,baja,ChIJoyWtbUpwpI8RU7wCEvYy7mA,"https://www.google.com/maps/search/?api=1&query=8.6441368,-83.4438719&query_place_id=ChIJoyWtbUpwpI8RU7wCEvYy7mA","https://www.google.com/maps/dir/?api=1&destination=8.6441368,-83.4438719&destination_place_id=ChIJoyWtbUpwpI8RU7wCEvYy7mA","https://waze.com/ul?ll=8.6441368,-83.4438719&navigate=yes",
